GO_term,category,description,ERR2538488,ERR2538396,ERR2538501,ERR2538446,ERR2538365,ERR2538354,ERR2538494,ERR2538510,ERR2538415,ERR2538376,ERR2538359,ERR2538504,ERR2538526,ERR2538465,ERR2538503,ERR2538424,ERR2538389,ERR2538523,ERR2538405,ERR2538524,ERR2538356,ERR2538448,ERR2538466,ERR2538381,ERR2538460,ERR2538402,ERR2538418,ERR2538474,ERR2538410,ERR2538407,ERR2538459,ERR2538469,ERR2538457,ERR2538384,ERR2538401,ERR2538455,ERR2538447,ERR2538382,ERR2538520,ERR2538414,ERR2538470,ERR2538433,ERR2538426,ERR2538487,ERR2538360,ERR2538452,ERR2538517,ERR2538439,ERR2538509,ERR2538398,ERR2538392,ERR2538516,ERR2538514,ERR2538507,ERR2538491,ERR2538351,ERR2538497,ERR2538419,ERR2538525,ERR2538417,ERR2538386,ERR2538492,ERR2538374,ERR2538350,ERR2538353,ERR2538449,ERR2538357,ERR2538490,ERR2538422,ERR2538394,ERR2538473,ERR2538477,ERR2538511,ERR2538522,ERR2538355,ERR2538421,ERR2538406,ERR2538442,ERR2538379,ERR2538496,ERR2538502,ERR2538512,ERR2538475,ERR2538454,ERR2538519,ERR2538441,ERR2538451,ERR2538456,ERR2538479,ERR2538527,ERR2538444,ERR2538481,ERR2538480,ERR2538361,ERR2538440,ERR2538368,ERR2538387,ERR2538372,ERR2538438,ERR2538366,ERR2538352,ERR2538476,ERR2538505,ERR2538358,ERR2538378,ERR2538383,ERR2538375,ERR2538495,ERR2538429,ERR2538364,ERR2538425,ERR2538482,ERR2538437,ERR2538498,ERR2538428,ERR2538412,ERR2538450,ERR2538472,ERR2538493,ERR2538484,ERR2538369,ERR2538411,ERR2538458,ERR2538434,ERR2538430,ERR2538391,ERR2538435,ERR2538420,ERR2538432,ERR2538380,ERR2538404,ERR2538395,ERR2538408,ERR2538471,ERR2538388,ERR2538500,ERR2538385,ERR2538349,ERR2538453,ERR2538506,ERR2538499,ERR2538431,ERR2538362,ERR2538413,ERR2538373,ERR2538463,ERR2538464,ERR2538468,ERR2538483,ERR2538485,ERR2538478,ERR2538518,ERR2538508,ERR2538393,ERR2538461,ERR2538371,ERR2538390,ERR2538427,ERR2538403,ERR2538363,ERR2538489,ERR2538370,ERR2538400,ERR2538521,ERR2538443,ERR2538397,ERR2538367,ERR2538436,ERR2538409,ERR2538377,ERR2538399,ERR2538423,ERR2538445,ERR2538515,ERR2538416,ERR2538513,ERR2538467,ERR2538486,ERR2538462,SRR1950756,SRR1950712,SRR1950750,SRR1950763,SRR1950711,SRR1950732,SRR1950757,SRR1950735,SRR1950786,SRR1950727,SRR1950770,SRR1950687,SRR1950709,SRR1950778,SRR1950726,SRR1950722,SRR1950707,SRR1950715,SRR1950728,SRR1950789,SRR1950723,SRR1950759,SRR1950771,SRR1950764,SRR1950716,SRR1950699,SRR1950742,SRR1950693,SRR1950769,SRR1950733,SRR1950751,SRR1950762,SRR1950766,SRR1950772,SRR1950787,SRR1950758,SRR1950737,SRR1950744,SRR1950760,SRR1950754,SRR1950747,SRR1950731,SRR1950785,SRR1950714,SRR1950705,SRR1950784,SRR1950710,SRR1950775,SRR1950788,SRR1950780,SRR1950753,SRR1950689,SRR1950743,SRR1950730,SRR1950779,SRR1950736,SRR1950782,SRR1950703,SRR1950717,SRR1950777,SRR1950697,SRR1950773,SRR1950720,SRR1950718,SRR1950721,SRR1950734,SRR1950724,SRR1950776,SRR1950767,SRR1950781,SRR1950745,SRR1950783,SRR1950691,SRR1950713,SRR1950755,SRR1950768,SRR1950741,SRR1950790,SRR1950752,SRR1950738,SRR1950761,SRR1950739,SRR1950701,SRR1950740,SRR1950774,SRR1950729,SRR1950719,SRR1950748,SRR1950749,SRR1950765,SRR1950695,SRR1950725,SRR1950791,SRR1950746,SRR2005638,SRR2005657,SRR2005720,SRR2005713,SRR2005669,SRR2005662,SRR2005644,SRR2005671,SRR2005706,SRR2005665,SRR2005717,SRR2005656,SRR2005649,SRR2005655,SRR2005678,SRR2005663,SRR2005369,SRR2005710,SRR2005712,SRR2005723,SRR2005715,SRR2005697,SRR2005724,SRR2005645,SRR2005651,SRR2005498,SRR2005676,SRR2005455,SRR2005421,SRR2005635,SRR2005714,SRR2005636,SRR2005673,SRR2005379,SRR2005661,SRR2005719,SRR2005659,SRR2005374,SRR2005666,SRR2005718,SRR2005378,SRR2005643,SRR2005725,SRR2005647,SRR2005376,SRR2005698,SRR2005648,SRR2005727,SRR2005664,SRR2005670,SRR2005660,SRR2005667,SRR2005709,SRR2005640,SRR2005721,SRR2005672,SRR2005637,SRR2005373,SRR2005716,SRR2005704,SRR2005380,SRR2005381,SRR2005652,SRR2005646,SRR2005639,SRR2005538,SRR2005722,SRR2005642,SRR2005654,SRR2005650,SRR2005658,SRR2005674,SRR2005707
GO:0008150,biological process,biological_process,19277,8839,4184,8085,17508,62933,5247,18687,42684,63872,47877,16579,11174,179,13214,7963,18701,14101,21881,6739,27621,11557,2995,9825,26522,17885,9035,20800,8729,27554,11538,7169,16878,61195,52163,6779,9036,14014,7093,12777,12941,4205,3535,6631,60626,5571,26303,10898,20209,23332,21469,2227,19025,8534,17783,30115,1649,12645,7184,5805,14726,16067,54467,11074,16407,10844,12574,5261,5119,46808,12617,17406,4737,17281,23714,8931,31532,7500,40933,18945,8047,3336,10210,11055,22967,6225,1630,2189,2822,31114,7714,1024,9446,62117,8514,53379,21542,15270,9948,25048,17106,19795,15990,16225,86627,20980,58619,5393,675,43534,4054,15122,5158,16814,1589,2985,18713,11208,11914,15437,31853,4526,33733,7036,1276,23817,707,3163,3460,24563,17354,26139,16781,13003,14080,12471,8346,47189,1882,8476,11702,4374,18623,316,29874,9054,5279,20029,12467,15283,9741,41772,8150,27296,2029,24558,20148,2307,28520,42254,3307,20007,19828,21624,4389,18330,22563,6654,1580,28757,75099,3136,9538,7892,43340,11165,15838,9781,7132,1527,1229,4681,1392,1424,3943,1396,2267,1995,979,1193,5519,2374,1388,3351,2488,5661,3627,1931,2023,5011,2315,848,1075,3719,3668,3333,3233,1279,1645,2411,1515,1134,2275,1496,680,2485,3780,314,1117,2019,2417,999,2570,4399,1613,4246,729,2045,3831,784,1806,3189,1692,3410,1990,1650,3285,1481,1316,2786,640,2904,4165,2087,1791,5556,711,1634,1330,1432,1043,2659,835,2233,1851,2376,1021,2381,2657,752,1658,3365,2191,388,1671,6146,2066,1436,1452,4225,2556,1161,1583,9,5141,70,110,726,0,504,3104,45,187,7,19,64,13,1779,595,337,2605,1801,6,5335,109,1,3347,3456,206,54,1251,5,2323,249,149,5328,7401,60,4087,862,25,410,203,455,1685,3,67,746,7195,141,2257,16,1399,88,659,3696,4160,430,16,2,8,472,10613,5553,12,2596,18,31,3209,17,1,1576,21,368,1527,225
GO:0071973,bacterial-type flagellar cell motility,biological_process,2245,224,449,2329,246,1409,591,415,97,653,1455,329,1078,42,1719,12,456,1546,2550,1668,576,94,873,1622,57,280,1565,634,1877,524,30,1548,446,1519,232,186,847,1289,1942,98,1423,209,626,1564,681,205,781,140,1523,587,2261,116,404,329,5617,1844,286,2850,1247,1324,378,605,448,229,1987,343,104,1152,190,215,999,9011,366,3057,5352,181,461,140,183,368,660,89,1577,264,884,250,36,29,44,393,43,288,899,1949,101,149,752,143,232,336,1698,723,2174,184,751,290,378,396,148,1117,694,1290,497,483,58,167,3019,1069,3129,172,225,349,92,291,82,3880,63,26,183,6405,1033,1621,1902,2165,1563,706,813,1523,252,1192,1953,633,2032,66,185,362,151,570,428,1322,2101,176,1084,4768,285,251,5614,123,124,431,471,747,220,4745,15,609,579,207,240,515,418,5,3365,1769,40,1544,390,741,963,16,91,318,77,316,584,69,62,116,50,54,83,83,75,273,83,78,951,179,479,76,504,66,63,1006,118,69,14,133,166,150,224,64,181,63,10,42,336,30,22,64,313,48,182,88,198,456,40,390,254,25,30,468,104,165,72,172,148,145,60,6,21,281,253,115,193,82,60,248,100,68,109,19,114,61,154,123,71,121,97,55,112,242,128,9,154,746,92,80,67,0,211,45,174,0,90,5,1,211,0,0,10,0,1,0,1,0,0,39,14,0,5,28,4,5,1,0,0,6,31,0,7,0,0,0,1,1095,4,2,1,2,1,10,0,4,69,0,14,2,46,0,17,0,10,3,236,1,15,34,5,0,0,11,8,10,1,2,0,0,544,0,0,5,0,8,0,34
GO:0071840,cellular component organization or biogenesis,biological_process,33501,27175,8856,15037,82814,84876,9448,46926,62766,94641,85478,25912,24518,307,23763,11882,57078,42861,62117,11715,97164,24375,5074,20500,71927,95481,16188,49696,13917,74308,19369,12957,16792,67036,176489,11435,17748,23372,13539,55361,21534,8714,5898,11214,133217,11972,39036,18819,50633,91619,75065,3812,45191,15623,31976,59753,2709,23089,11441,9436,41828,21737,129371,52712,42133,17760,67646,10099,7712,126480,34302,27821,9753,42437,44243,13125,119759,11719,87279,31243,15576,7059,28705,27180,59449,9132,3463,3395,5145,63675,14198,1542,29818,72170,14969,127172,100416,55265,12772,66276,61380,68494,26767,61255,138093,82082,149147,8132,1301,40538,5768,28008,8151,25365,2773,4967,48425,19417,21351,28812,81545,7311,36524,10998,1169,78233,1292,5531,7662,54623,75441,84397,40257,26024,59044,20886,34726,50775,3930,15682,22052,8798,39245,874,134071,11272,11716,41897,26354,24348,17304,79450,14898,48569,3489,90419,41958,3825,143109,82945,5314,54899,101134,27940,7779,40625,74826,11785,2827,101644,108435,4818,17340,12996,79764,21858,31890,17219,13013,3119,2046,8299,2434,1651,7062,2355,4257,3214,870,1972,11433,3814,2784,5992,4944,8791,5600,2841,1547,9765,4081,1366,1640,6034,5182,4888,5569,2041,2449,3737,2078,1877,3688,2456,899,5003,5787,528,1601,2713,4481,1393,3534,6822,2319,4561,971,1955,6070,1119,3132,4001,4165,5311,4307,2302,4848,2577,2474,4520,937,3624,7094,3756,2706,11305,806,2503,1875,1615,1503,4166,1017,4853,2819,3962,1582,3870,5832,765,3080,5274,3715,435,2403,7630,3006,2450,2228,6638,4545,1512,2440,18,16158,94,311,1653,0,1922,17005,133,836,8,111,190,51,4005,1169,810,9824,5212,8,9569,214,8,9598,9425,546,144,3894,7,7790,235,577,11173,13257,152,3824,915,33,1268,195,449,6083,7,107,1918,17076,262,7138,30,6239,106,1614,14931,8534,758,34,11,14,606,24313,9814,7,5640,37,114,7594,42,18,4894,113,1303,4921,673
GO:0071103,DNA conformation change,biological_process,22310,28849,7179,17671,65472,85325,7301,49331,27191,86962,89938,13328,24818,273,17056,6259,45674,35930,61912,12405,93403,18912,5038,19945,97934,83149,13553,54610,11083,71615,23195,12389,15922,65705,185931,12056,15502,16054,11716,60500,21492,8997,4541,8622,133257,16209,48997,20317,48990,71470,71015,2458,50791,9952,36079,66993,2265,30187,11221,6529,40148,28681,122908,40270,34225,7728,49364,9732,3532,102926,29985,27413,10695,38417,43741,4773,113449,5004,69973,18026,12134,9847,28249,22465,69739,4588,4177,2833,5322,48049,10073,1498,24160,69395,14761,113628,82260,48920,7293,82209,59875,75970,28951,61341,138005,63282,140272,8382,1228,43535,4619,31785,5060,14010,2557,3057,51205,11817,20062,28688,66102,3705,38838,5914,1194,73498,859,5841,13980,52209,58398,81453,54509,21475,47870,16148,28192,47277,3733,17392,19250,14820,41909,1011,129719,11442,11666,35699,34431,15543,16252,102751,11685,58300,2467,86965,42346,2698,119504,81466,5883,58873,83972,42102,5988,36811,75196,9723,2312,108828,109371,3432,16703,9430,55419,22412,30847,13014,10044,2902,2250,7911,2517,1536,7841,2657,3046,3603,537,2191,9986,2571,2962,5437,5734,3530,4917,2419,1559,9331,4471,1392,1752,5136,3735,4067,5475,2341,2021,3259,2365,1808,3533,2688,953,6178,5118,620,1678,2683,4870,1393,3452,3150,2458,3307,841,2086,6956,1046,2779,3358,4508,6326,2981,2333,4000,2324,2936,6889,830,3514,7010,4488,2588,10193,710,2057,1648,1575,1513,3630,1020,4277,2810,3067,1715,3258,6378,755,2812,4608,3844,331,2328,8383,2974,2290,2331,10468,4047,1488,2453,15,18229,77,400,1650,3,2097,16343,121,1247,21,131,178,61,5637,1603,708,10920,5566,22,14165,246,5,11100,10726,542,155,4059,19,8081,314,719,14144,21780,160,4633,1133,45,1574,244,395,6249,3,85,1668,23282,251,7664,47,7302,124,1528,15297,14360,809,65,6,12,657,34318,15676,13,8457,45,140,8566,43,9,5707,81,1440,6581,1072
GO:0045454,cell redox homeostasis,biological_process,5717,4077,1499,2256,13749,12638,1599,7231,9753,14405,13107,3629,4238,60,4121,1824,8234,7321,10150,2552,15905,3558,1083,4245,10160,15714,3017,7295,2897,11645,2838,2764,2752,12378,24302,1731,2861,3967,3046,8383,3995,1382,1139,2394,19825,1746,7288,2805,9109,13411,12819,658,6640,2428,7195,9833,519,4599,2319,1881,5817,3780,19654,8875,7150,2733,11085,2179,1279,18420,5620,7013,1527,8014,7939,2130,18825,1763,12738,4528,2490,1005,4653,4525,10402,1358,479,503,761,9857,1914,353,4879,10813,2241,16984,15808,8893,1689,10732,11669,10602,4641,8628,18893,11726,21764,1435,237,8275,1204,5207,1449,4197,452,763,8553,3094,4280,3987,11566,1204,4930,1719,244,14298,235,842,1258,9673,11661,11964,6865,4877,10222,3510,6234,8949,755,2879,3955,1697,7362,170,19179,1869,1743,6043,3816,4355,3611,13974,2762,11075,642,14430,8543,614,20909,10598,1149,7525,15752,7061,1086,6064,13087,1887,541,13590,19014,753,3963,2495,11225,4014,4812,3009,2217,516,451,1569,484,415,2141,353,745,677,182,384,2853,700,493,1649,974,1302,1532,684,483,1753,1056,347,299,1626,936,855,928,441,525,1021,583,357,844,516,133,943,1325,110,351,466,1233,298,791,1062,523,824,199,547,1644,204,750,945,820,1445,718,675,932,673,469,1006,185,959,1500,758,561,1937,178,683,371,370,323,697,257,872,602,699,356,1109,1192,214,782,1052,972,72,518,2613,458,467,454,1493,1135,299,569,8,3053,16,43,308,0,236,2073,23,115,2,11,21,12,989,224,116,1333,738,4,1562,40,1,1189,1391,118,16,550,4,879,31,88,2456,2752,29,498,91,5,141,29,56,907,0,19,281,2542,26,987,6,648,26,318,1979,1495,119,3,0,1,99,3804,1993,1,1005,2,10,1771,3,0,720,10,248,766,143
GO:0065003,macromolecular complex assembly,biological_process,8045,2052,1273,1152,2796,3717,1812,3499,22339,5364,4855,8290,3451,59,5449,4217,6633,4080,5141,1152,5277,5220,667,2704,9705,3884,2866,3453,2561,5060,4119,1667,2276,4391,13118,2899,3839,5397,1755,2990,2407,1726,1187,2235,6510,1509,2992,4994,5299,6474,3868,959,3733,3968,3978,3651,463,3368,1883,1947,4491,4194,5906,1609,4611,5542,2138,1293,2412,5139,1775,2929,1912,3911,4743,4679,5577,3971,4052,9727,2889,1297,2188,4181,7714,2743,558,1089,1287,13129,3712,299,2859,4773,3875,4828,4189,2112,3341,3213,2697,4901,2569,3797,6947,2803,6378,855,125,2242,830,3571,2202,7679,592,1407,3010,4876,3487,7334,2450,2097,3451,3178,112,4598,326,1501,1151,4277,3381,5531,4479,3573,2432,4989,1949,3165,446,1522,4055,1290,3517,67,6137,2626,2092,6706,4666,6149,2889,5749,3046,5190,852,4787,4715,946,7915,3560,593,3032,3495,2403,1972,5022,3906,3211,591,6519,5523,1479,1866,2612,20907,2596,4916,3477,2866,438,298,828,347,315,662,334,724,528,230,243,1247,940,304,473,585,2985,461,484,247,1396,490,136,276,502,1251,748,1141,263,402,487,213,232,280,357,166,541,883,76,252,417,447,230,553,2215,326,1225,138,285,617,186,406,587,279,670,551,318,1038,297,262,642,165,437,890,486,338,1649,190,247,242,300,213,982,131,578,337,476,189,418,482,126,331,1077,459,83,266,766,429,316,305,881,421,261,274,0,1317,10,33,129,0,111,973,14,57,5,5,9,3,179,106,137,696,545,1,1846,26,1,485,1154,25,10,411,0,205,37,30,787,1691,9,495,57,3,109,16,43,304,0,13,161,2311,10,707,4,464,11,131,1038,1747,39,1,0,0,45,3380,1569,0,1017,3,12,404,3,1,515,0,88,270,40
GO:0016226,iron-sulfur cluster assembly,biological_process,3755,4275,1130,2140,12773,12323,1189,7699,6106,15076,13887,2420,4015,51,2744,1281,7939,6683,9716,2137,14895,3356,876,2988,17646,14392,2191,8468,1696,11555,4193,2019,2625,9867,30912,2078,2876,2750,1693,10175,3228,1687,735,1428,21259,2752,5881,3472,7934,13526,12328,404,7899,1659,5674,9091,385,5036,1768,1074,6147,4324,21527,7712,5894,1382,10814,1608,585,20292,5233,4403,1878,6621,6962,945,18880,845,13275,3324,1938,1739,4761,3970,11829,679,673,496,1021,8779,1922,195,4483,11012,2541,20541,15128,8534,1212,10331,9341,12770,4607,9716,22044,12032,23382,1385,179,6991,829,4551,818,2441,451,528,8206,2144,3214,5007,11668,677,6206,1104,223,12070,178,1131,2336,8470,11811,12913,8785,3523,9520,2779,5416,7888,598,2733,3105,2468,6317,165,21100,1888,2011,6664,5821,2598,2566,13423,2019,8868,387,14500,6404,507,22168,12506,946,9210,15980,4902,1157,6145,11975,1747,365,17054,17213,607,2764,1661,10965,3526,5541,2163,1688,572,415,1538,424,259,1323,534,696,666,119,401,1492,448,515,1071,1103,651,858,438,273,1922,817,262,329,903,696,748,1053,442,353,565,392,311,594,525,174,1215,946,101,330,511,873,232,640,557,450,510,151,303,1265,211,445,691,674,1112,694,506,719,518,529,1365,161,649,1369,888,436,2179,117,494,288,238,270,672,194,873,589,522,266,466,1245,130,496,842,691,65,406,1364,543,454,399,2171,775,242,428,2,2850,10,60,235,0,327,2719,28,141,2,30,31,4,968,263,113,1735,1087,6,2455,51,1,1685,1959,95,20,697,4,1322,59,124,2342,4047,27,794,153,14,266,28,90,1167,0,12,318,4015,38,1332,6,942,19,189,2653,2656,125,2,2,2,108,5737,2983,2,1403,9,30,1679,13,1,998,8,219,965,163
GO:0017004,cytochrome complex assembly,biological_process,1449,281,378,719,2647,2596,494,526,1264,2491,1395,832,932,25,1427,312,1427,1870,2450,1012,928,652,649,1342,2471,4920,1108,1070,1018,1855,920,1078,527,2415,1500,721,987,1180,1149,636,1058,487,409,897,1735,775,1166,1003,2091,2927,2196,175,429,415,3134,1973,207,2293,769,788,777,1610,3079,1866,1694,497,3024,948,273,4480,1191,3777,690,2568,2957,339,2063,305,2633,996,647,492,1215,597,2384,275,192,179,211,862,454,193,1520,1726,739,3432,3485,2184,265,2053,2372,1147,1245,729,1679,2982,2552,417,87,1392,380,1779,443,1009,85,164,1865,805,1764,1600,2959,305,250,336,51,3203,67,259,714,3208,3480,1320,2977,1717,3156,952,2186,1647,250,836,1557,868,2609,41,2772,669,436,1266,1986,1219,1349,1372,780,5587,211,515,3260,141,5201,1075,493,663,3523,3192,279,823,2007,583,191,655,2839,184,1954,1225,1676,1456,1074,753,693,152,181,626,230,179,834,161,250,318,66,166,320,220,190,611,365,251,754,241,197,654,566,161,170,686,362,243,336,182,221,360,284,143,356,221,61,398,459,58,106,192,487,104,338,236,258,199,87,204,644,48,89,410,162,593,193,224,407,251,199,392,101,438,615,331,233,593,90,314,153,105,164,237,134,246,248,250,128,455,443,58,300,441,376,19,216,1311,220,175,192,617,441,107,258,2,176,12,18,122,0,45,302,1,10,4,4,1,2,503,79,19,61,197,5,555,12,0,325,437,84,3,45,1,146,7,10,1387,1354,8,111,5,3,19,3,2,370,0,4,15,603,7,83,1,44,9,130,41,808,46,1,0,0,40,954,977,0,353,2,4,1192,1,0,89,3,9,15,81
GO:0008152,metabolic process,biological_process,379088,310258,113612,213517,910848,926290,127120,544011,497484,1027907,951626,262451,327823,5876,317767,109836,601633,535899,849116,211767,1057762,263911,106581,347332,1089600,1067596,257569,601070,221061,787079,292110,210589,215415,837817,2054676,174578,235687,286617,262581,675600,306577,122317,95530,167927,1415302,207037,463635,287842,628475,970514,925499,43165,553858,172626,623273,723642,41803,469995,176177,140087,469532,326668,1398583,563159,498812,163902,683466,182257,77120,1349878,393323,511019,157604,605669,661199,132289,1277801,111743,914800,349383,192741,128353,363187,308373,877671,99426,53533,44136,68863,690485,154667,31012,360830,821345,217843,1352937,1103544,562675,118236,676857,685382,852820,390971,652044,1486586,848007,1535584,110907,22596,583942,104647,326331,103222,294449,34202,53146,688774,224404,351263,420979,780835,77635,434228,121050,18575,1015212,18301,80726,169231,752422,826257,926420,721309,362370,693744,271440,425061,616584,58504,232900,327721,198535,569126,13698,1418872,172560,163582,479847,483411,326298,273337,940480,202555,905903,51737,983851,682167,43068,1539416,822987,102896,629946,1114023,272455,89301,470380,844241,152194,39931,1131632,1296884,52808,338960,202857,778683,320478,401004,214202,192380,40054,34048,131344,40487,31256,143979,36860,52080,53959,12652,33806,233377,47193,43480,109468,79213,82062,115144,49933,32962,134264,78700,27741,26468,119380,62548,61414,80475,38678,39555,64203,38936,27479,72298,41396,14180,87777,95347,9726,23805,38914,85628,21614,59926,64361,41411,57000,13098,36060,115445,16219,63022,72737,55120,108203,51742,42992,67103,43704,40658,95544,11962,80801,115474,64058,37170,149682,12082,53456,26348,23817,25148,55289,19256,59855,57627,47880,24511,55733,92194,12689,49456,78392,66609,5221,37597,183115,43996,38125,31090,144862,79403,20642,38141,340,221054,1217,3189,26727,54,23347,209262,1820,13777,221,1462,2461,639,96171,18915,8568,121046,76201,326,175947,3470,76,114705,137446,12572,1672,46919,157,78660,3694,6973,236142,292465,2069,53973,12745,522,18112,2846,5010,91893,80,1382,20814,256637,3444,86394,560,85092,1820,26015,171767,184506,12122,646,167,222,8179,389837,211073,174,105500,483,1701,188292,505,122,68989,1047,17551,72317,15732
GO:0008218,bioluminescence,biological_process,15,3,7,43,108,4,22,63,0,131,838,18,41,1,25,1,145,12,28,18,1,4,1,18,3,16,7,57,19,52,2,26,7,954,8,1,13,8,0,3,17,2,7,6,23,10,103,10,14,185,43,0,61,12,15,546,2,5,3,7,8,15,664,56,45,5,4,17,3,351,32,17,9,32,254,5,50,8,376,21,18,26,27,14,510,5,5,2,0,114,14,1,36,217,8,1423,34,32,1,407,49,32,181,1144,375,472,18,4,0,7,2,13,1,2,0,1,23,25,12,59,2,5,3,1,0,100,0,1,0,96,36,87,16,14,20,25,3,13,0,43,17,0,23,0,1333,4,4,4,64,20,14,348,9,34,3,6,23,2,109,202,4,1016,48,8,7,62,72,4,0,50,1116,1,4,19,0,38,3,14,5,0,3,13,3,28,4,10,0,1,2,0,1,2,2,21,2,11,7,7,0,3,14,0,3,3,5,4,4,0,2,5,1,1,5,3,4,3,21,0,2,8,0,7,5,8,8,41,2,5,6,0,0,6,4,2,3,46,5,33,0,1,1,4,18,3,0,2,3,1,12,0,11,5,1,3,6,26,0,1,3,1,1,9,2,0,3,14,6,12,2,0,16,0,0,0,2,0,0,2,0,1,2,0,0,0,0,0,1,6,2,0,3,4,0,1,1,0,0,16,1,0,2,0,24,0,1,2,18,0,1,0,0,0,1,1,7,0,0,1,47,0,6,0,0,0,0,6,13,0,0,0,0,2,22,4,0,13,0,0,2,0,0,2,0,0,6,3
