GO_term,category,description,ERR2538488,ERR2538396,ERR2538501,ERR2538446,ERR2538365,ERR2538354,ERR2538494,ERR2538510,ERR2538415,ERR2538376,ERR2538359,ERR2538504,ERR2538526,ERR2538465,ERR2538503,ERR2538424,ERR2538389,ERR2538523,ERR2538405,ERR2538524,ERR2538356,ERR2538448,ERR2538466,ERR2538381,ERR2538460,ERR2538402,ERR2538418,ERR2538474,ERR2538410,ERR2538407,ERR2538459,ERR2538469,ERR2538457,ERR2538384,ERR2538401,ERR2538455,ERR2538447,ERR2538382,ERR2538520,ERR2538414,ERR2538470,ERR2538433,ERR2538426,ERR2538487,ERR2538360,ERR2538452,ERR2538517,ERR2538439,ERR2538509,ERR2538398,ERR2538392,ERR2538516,ERR2538514,ERR2538507,ERR2538491,ERR2538351,ERR2538497,ERR2538419,ERR2538525,ERR2538417,ERR2538386,ERR2538492,ERR2538374,ERR2538350,ERR2538353,ERR2538449,ERR2538357,ERR2538490,ERR2538422,ERR2538394,ERR2538473,ERR2538477,ERR2538511,ERR2538522,ERR2538355,ERR2538421,ERR2538406,ERR2538442,ERR2538379,ERR2538496,ERR2538502,ERR2538512,ERR2538475,ERR2538454,ERR2538519,ERR2538441,ERR2538451,ERR2538456,ERR2538479,ERR2538527,ERR2538444,ERR2538481,ERR2538480,ERR2538361,ERR2538440,ERR2538368,ERR2538387,ERR2538372,ERR2538438,ERR2538366,ERR2538352,ERR2538476,ERR2538505,ERR2538358,ERR2538378,ERR2538383,ERR2538375,ERR2538495,ERR2538429,ERR2538364,ERR2538425,ERR2538482,ERR2538437,ERR2538498,ERR2538428,ERR2538412,ERR2538450,ERR2538472,ERR2538493,ERR2538484,ERR2538369,ERR2538411,ERR2538458,ERR2538434,ERR2538430,ERR2538391,ERR2538435,ERR2538420,ERR2538432,ERR2538380,ERR2538404,ERR2538395,ERR2538408,ERR2538471,ERR2538388,ERR2538500,ERR2538385,ERR2538349,ERR2538453,ERR2538506,ERR2538499,ERR2538431,ERR2538362,ERR2538413,ERR2538373,ERR2538463,ERR2538464,ERR2538468,ERR2538483,ERR2538485,ERR2538478,ERR2538518,ERR2538508,ERR2538393,ERR2538461,ERR2538371,ERR2538390,ERR2538427,ERR2538403,ERR2538363,ERR2538489,ERR2538370,ERR2538400,ERR2538521,ERR2538443,ERR2538397,ERR2538367,ERR2538436,ERR2538409,ERR2538377,ERR2538399,ERR2538423,ERR2538445,ERR2538515,ERR2538416,ERR2538513,ERR2538467,ERR2538486,ERR2538462,SRR1950756,SRR1950712,SRR1950750,SRR1950763,SRR1950711,SRR1950732,SRR1950757,SRR1950735,SRR1950786,SRR1950727,SRR1950770,SRR1950687,SRR1950709,SRR1950778,SRR1950726,SRR1950722,SRR1950707,SRR1950715,SRR1950728,SRR1950789,SRR1950723,SRR1950759,SRR1950771,SRR1950764,SRR1950716,SRR1950699,SRR1950742,SRR1950693,SRR1950769,SRR1950733,SRR1950751,SRR1950762,SRR1950766,SRR1950772,SRR1950787,SRR1950758,SRR1950737,SRR1950744,SRR1950760,SRR1950754,SRR1950747,SRR1950731,SRR1950785,SRR1950714,SRR1950705,SRR1950784,SRR1950710,SRR1950775,SRR1950788,SRR1950780,SRR1950753,SRR1950689,SRR1950743,SRR1950730,SRR1950779,SRR1950736,SRR1950782,SRR1950703,SRR1950717,SRR1950777,SRR1950697,SRR1950773,SRR1950720,SRR1950718,SRR1950721,SRR1950734,SRR1950724,SRR1950776,SRR1950767,SRR1950781,SRR1950745,SRR1950783,SRR1950691,SRR1950713,SRR1950755,SRR1950768,SRR1950741,SRR1950790,SRR1950752,SRR1950738,SRR1950761,SRR1950739,SRR1950701,SRR1950740,SRR1950774,SRR1950729,SRR1950719,SRR1950748,SRR1950749,SRR1950765,SRR1950695,SRR1950725,SRR1950791,SRR1950746,SRR2005638,SRR2005657,SRR2005720,SRR2005713,SRR2005669,SRR2005662,SRR2005644,SRR2005671,SRR2005706,SRR2005665,SRR2005717,SRR2005656,SRR2005649,SRR2005655,SRR2005678,SRR2005663,SRR2005369,SRR2005710,SRR2005712,SRR2005723,SRR2005715,SRR2005697,SRR2005724,SRR2005645,SRR2005651,SRR2005498,SRR2005676,SRR2005455,SRR2005421,SRR2005635,SRR2005714,SRR2005636,SRR2005673,SRR2005379,SRR2005661,SRR2005719,SRR2005659,SRR2005374,SRR2005666,SRR2005718,SRR2005378,SRR2005643,SRR2005725,SRR2005647,SRR2005376,SRR2005698,SRR2005648,SRR2005727,SRR2005664,SRR2005670,SRR2005660,SRR2005667,SRR2005709,SRR2005640,SRR2005721,SRR2005672,SRR2005637,SRR2005373,SRR2005716,SRR2005704,SRR2005380,SRR2005381,SRR2005652,SRR2005646,SRR2005639,SRR2005538,SRR2005722,SRR2005642,SRR2005654,SRR2005650,SRR2005658,SRR2005674,SRR2005707
GO:0005575,cellular component,cellular_component,1945,1565,810,1025,4536,3060,742,2639,2325,3494,4453,1345,1910,168,2552,672,2574,2758,6021,1543,4856,1656,707,3000,9614,1321,2006,2621,1443,4473,3015,1512,1041,3146,8351,1713,1959,1674,1767,3352,2288,1305,542,1369,5933,1909,2477,2332,3650,2068,3640,216,2687,1641,8028,3033,417,6229,10373,1057,2347,4560,3667,3271,2594,675,551,1005,233,2140,1608,5195,1379,3969,9815,265,4826,357,2077,1827,1072,1297,2411,1172,6543,685,551,317,606,2807,1315,169,1444,4253,1703,2747,2939,881,1046,2514,2096,5656,2865,2708,5806,957,4682,822,144,2273,723,2516,570,1067,240,308,4487,1259,4140,3601,927,430,1782,400,88,4925,70,664,1889,6397,2402,5360,6503,2871,2217,1638,1089,3026,353,1572,2587,2431,3979,83,4309,1941,1218,3611,4969,1634,2183,3189,1366,9172,261,4432,7314,225,4602,2835,849,2942,2373,2623,705,2387,2356,1050,248,4945,3614,409,2424,1359,4264,2309,3080,1165,1028,394,280,1089,366,328,1007,417,335,527,141,384,3331,342,415,798,812,759,870,367,492,1360,716,202,345,952,482,572,810,379,351,664,332,245,599,416,175,954,834,90,248,355,589,257,558,451,390,1105,132,461,962,168,960,1065,365,935,258,351,610,287,391,1060,123,739,1049,630,308,1536,117,343,267,300,241,552,161,592,434,392,203,611,938,119,433,683,539,60,335,1578,499,359,334,1676,646,250,312,5,1003,35,21,965,1,84,414,9,26,4,8,6,10,720,277,50,550,1040,13,1771,93,0,598,3159,97,5,202,1,325,33,35,1441,3232,47,439,47,6,68,14,37,616,2,10,128,9020,18,357,4,222,11,248,783,2104,258,10,6,0,151,3993,2523,0,1204,3,17,1294,1395,0,2992,4,164,209,260
GO:0005576,extracellular region,cellular_component,736,260,491,940,711,834,484,404,406,492,571,357,313,17,747,117,501,723,970,626,745,546,175,611,3194,552,776,1127,700,3257,1754,709,328,713,11533,375,432,473,975,464,1781,235,412,440,438,616,353,593,241,900,827,236,374,169,1557,1293,223,1066,1917,475,1712,2361,363,408,614,71,264,410,183,696,208,2839,413,1505,1143,121,359,213,558,367,619,555,668,484,1475,947,183,64,152,278,367,205,587,660,492,805,745,298,1698,1441,1014,520,609,167,231,475,291,577,38,590,662,9800,192,1541,77,65,1076,304,848,1513,423,87,1143,170,36,589,32,180,487,1676,1112,1219,1505,333,996,678,302,575,99,808,781,532,1019,14,503,1997,369,731,1935,852,922,360,570,1414,87,774,1383,88,1119,155,342,597,1203,975,213,442,574,210,138,398,592,66,906,338,1137,473,787,605,522,180,188,808,283,293,472,396,254,317,340,296,465,184,348,300,365,152,427,296,417,546,354,157,264,355,210,941,471,316,272,337,203,288,391,256,154,257,528,39,271,359,296,197,420,107,226,1601,342,373,600,218,258,420,175,304,164,178,332,202,248,428,227,537,860,383,477,607,244,425,271,433,256,275,137,244,416,611,339,226,280,213,198,275,187,110,375,566,338,303,777,629,377,457,383,0,634,3,136,32,0,65,323,1,18,1,6,51,1,34,88,12,268,391,2,482,2,0,97,508,19,5,280,1,79,8,4,352,1136,4,106,637,16,25,1,37,86,1,13,50,646,126,656,1,301,40,19,245,936,23,0,0,0,33,1033,721,0,331,4,6,362,0,0,332,7,22,444,19
GO:0005618,cell wall,cellular_component,254,1572,423,274,583,1350,203,509,350,1005,1030,44,147,11,101,14,75,176,2147,145,171,781,113,414,2428,2715,205,1031,363,324,184,421,495,261,6821,63,78,266,163,2002,1160,4,94,135,837,82,389,37,235,264,149,190,426,95,180,960,90,90,491,79,1528,137,1191,341,164,92,257,224,145,494,357,293,21,149,968,31,66,171,379,94,507,14,246,685,112,164,17,14,47,265,45,123,68,849,109,1222,250,514,193,1475,170,663,1071,80,2793,653,580,566,38,2264,167,9299,92,1486,27,40,1672,75,111,49,748,40,2306,128,33,145,25,29,28,1620,747,6099,1385,154,315,246,763,884,67,769,164,29,503,33,163,134,326,710,105,416,278,771,317,331,48,283,1313,48,47,1551,76,2380,622,54,17,346,442,25,94,722,322,2,326,125,1261,130,661,404,231,74,51,198,85,14,45,188,20,135,11,62,310,24,161,106,112,31,106,68,97,43,139,56,108,55,94,249,12,113,99,88,60,134,168,67,28,51,158,11,111,142,25,45,114,22,111,87,258,127,457,50,100,98,222,246,32,36,84,80,70,9,134,45,482,152,355,53,86,39,102,100,97,14,15,116,92,166,210,58,97,32,55,88,32,29,264,128,115,97,618,8,87,236,184,0,1510,5,147,16,0,113,301,25,38,1,4,17,0,102,113,9,1013,361,0,195,23,0,706,304,15,18,314,2,1096,13,91,236,37,2,176,357,7,80,29,75,306,0,15,157,917,57,667,3,77,15,22,2237,100,13,2,0,0,27,1122,27,1,75,2,10,422,5,0,127,6,101,817,8
GO:0009276,Gram-negative-bacterium-type cell wall,cellular_component,11,4,5,4,2,34,16,2,4,3,0,8,3,0,5,0,4,4,23,21,2,2,4,42,5,3,6,5,24,2,1,13,7,0,2,0,2,4,46,0,26,2,2,9,13,2,18,0,5,0,16,5,8,2,54,5,7,26,6,6,0,4,2,2,3,0,2,12,0,0,2,10,3,8,18,0,0,0,0,2,3,0,4,4,16,1,0,2,1,10,3,0,7,8,1,2,36,0,0,32,5,4,16,4,9,2,3,20,0,9,6,8,3,19,2,0,10,7,12,5,2,4,0,0,2,0,0,1,1,9,1,3,130,18,20,4,9,14,1,10,11,7,24,0,0,0,1,66,21,4,12,0,20,54,0,2,84,4,0,2,32,3,0,9,0,6,2,0,2,6,7,1,19,31,0,23,0,6,6,4,1,0,0,0,3,6,1,0,0,6,0,10,0,0,2,0,4,2,2,2,7,2,2,1,1,2,2,6,5,1,6,1,5,2,0,0,2,0,0,14,1,3,12,2,2,164,0,3,1,3,0,105,4,4,10,1,1,0,1,0,0,1,7,0,3,6,2,6,11,1,2,0,0,2,0,2,0,0,1,0,0,17,2,0,1,0,34,1,1,0,1,3,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,1,3,0,0,3,0,0,0,10,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,5,0,0,0,0,0,0,1,0,0,0,0,2,7,0,0,0,0,23,0,0,0,0,0,0,3
GO:0016020,membrane,cellular_component,136383,89741,35402,56270,250617,270516,41250,171795,163366,305696,302137,91712,94821,1620,96836,38002,191971,147411,234590,55544,332114,85452,27213,96702,315280,273744,71863,172255,63561,239488,91464,59479,63117,237397,586907,50554,67217,95309,65128,189931,89592,37612,25083,53748,442931,58090,137271,91894,198977,285401,261114,14528,162939,66334,189850,219618,13600,141117,50007,42197,143920,107572,410115,154187,156177,59273,166726,48997,25705,386386,112655,158085,46992,170638,195907,54608,385023,47499,267822,149174,61765,37491,106561,94252,265124,34201,15714,14405,19996,225288,52558,8115,100438,252407,76333,371006,310571,149151,45843,210152,200648,240494,113265,200763,458947,216573,460741,32618,5518,148010,24942,97355,33103,122909,10584,16728,198540,80542,113879,135308,220296,24189,129220,42949,4969,295222,5924,25521,48348,220802,214207,273801,206210,109455,178458,83176,110996,178236,16733,65713,91949,58070,162760,3598,416663,57405,55862,145369,147038,120999,75928,271451,64846,243257,14943,308664,200141,13979,420611,262087,25331,200786,306196,85640,31903,150557,248989,50211,11182,366648,352349,17002,88414,57685,242137,90075,120869,72170,53967,13801,11634,41070,13466,12142,41093,13167,16918,17971,4569,10904,84822,19454,14559,31671,27367,36516,30965,15315,13604,46546,23077,7378,8791,31663,21800,21981,27142,12086,12862,19665,12484,9242,18123,14036,5175,29644,31314,2897,8363,13581,24994,7527,20276,22991,13242,21314,4732,13899,29761,5794,23424,25853,19096,26914,17293,13801,23055,14546,13466,33285,4415,21973,38531,21991,13173,52784,4393,14087,9242,7900,8466,20091,6174,20783,16311,16703,8204,16623,30686,4595,14669,28803,19841,2003,11939,47836,16045,12133,10763,50300,23740,7290,12166,90,57805,344,965,8228,10,6418,55281,509,3546,50,398,696,200,23935,5560,2599,31747,19926,68,50820,894,23,33879,39530,2590,431,12932,58,26550,1062,2029,59802,96393,606,15656,4011,175,5448,902,1699,25756,22,386,6736,75913,1042,23286,131,23189,483,7523,46802,53123,3559,182,44,59,2433,115716,69630,54,30004,126,477,38548,150,36,20085,301,4330,18058,3981
GO:0019867,outer membrane,cellular_component,2753,712,1548,1384,322,2793,1084,1069,1703,1126,2216,1281,2340,37,2920,312,923,2499,3853,2442,1836,512,834,5409,589,332,2438,1214,2831,1989,352,3202,945,1880,339,553,1253,2236,3802,216,3511,469,713,2203,1381,406,1979,581,6616,970,2255,422,1004,780,11365,2466,739,5724,2476,2067,792,1970,586,262,3598,1300,197,1646,595,473,1443,13741,490,4345,7693,791,2127,679,418,1313,1881,216,2826,1041,2461,728,112,139,158,1427,362,462,1311,5324,423,196,1567,439,1113,7147,2029,1382,4012,326,931,379,403,1164,162,1963,821,7634,1113,3595,147,383,5598,1893,6005,979,658,725,382,744,79,4568,99,153,387,8908,2376,2629,4249,4968,2452,1458,1324,2735,544,2330,2857,1348,5762,123,203,671,373,1158,1938,2478,3555,657,1973,11812,429,379,8719,255,313,515,1010,1157,406,4066,227,1279,889,499,512,915,819,136,4358,3067,1605,2888,943,1422,1425,141,207,851,203,502,1110,261,204,497,178,176,4176,359,282,531,306,621,1208,658,968,513,562,218,148,1311,721,468,256,224,509,1141,567,192,540,303,63,339,712,53,96,233,603,229,587,502,491,901,130,845,915,100,1161,1157,409,594,186,522,908,342,208,93,184,1255,992,379,607,403,194,309,355,201,416,208,183,282,352,238,319,1481,777,221,505,867,548,52,566,4025,331,250,392,141,400,350,498,0,286,7,77,560,1,94,50,0,12,1,9,5,10,196,74,10,20,214,8,132,8,0,1048,154,53,7,38,2,647,3,14,2695,164,7,24,22,4,32,1,3,214,1,9,5,591,4,126,0,67,20,617,29,91,146,13,4,1,40,224,166,1,68,0,7,733,2,0,71,9,43,12,90
GO:0042597,periplasmic space,cellular_component,3699,1085,851,3129,1791,4884,1446,1928,304,3364,4801,807,2628,126,3994,29,1767,3883,11739,3683,3785,385,2602,4611,813,2109,3818,2218,3845,2794,124,3302,1295,5506,3520,525,1693,3345,6791,1170,3853,442,1098,3097,4247,700,2404,393,6397,3693,8074,379,1792,886,13869,6019,707,7285,3125,2864,2135,1809,3545,1071,4674,1022,1304,3410,473,2794,2231,15684,792,8087,9497,546,3592,326,1791,1075,1501,251,3417,977,2236,572,136,112,86,1566,130,1183,4464,4349,341,2735,2857,1224,731,2674,3960,2745,4626,1685,4984,2217,3676,950,361,4101,1226,3447,1383,1411,204,409,7727,1928,6897,403,1833,668,821,784,230,12073,168,76,451,17992,3741,6043,5503,4680,4507,2616,2396,4298,637,3429,3857,1637,5680,173,2865,1071,432,1901,1052,3937,5996,1642,2712,11383,868,2774,14295,273,2771,2597,1369,3320,1881,3546,86,2320,2726,821,588,3477,3199,37,8179,3956,468,3420,1290,2042,3254,76,210,916,212,483,1663,138,187,351,133,166,1808,163,201,1037,187,139,1653,714,673,257,1067,235,191,1536,262,244,44,237,480,1010,321,331,598,202,39,123,1654,95,108,243,830,172,800,203,802,877,156,611,861,84,499,2529,396,714,205,431,382,660,164,17,86,1279,545,255,463,193,137,843,283,179,313,71,434,126,518,254,257,423,342,102,249,459,317,51,569,3277,368,210,310,11,943,162,473,0,411,7,19,351,0,78,219,0,16,0,6,0,2,575,62,9,163,202,3,104,11,2,685,84,75,3,74,1,415,10,14,2434,43,9,34,10,2,39,5,12,257,0,10,41,651,2,170,2,85,8,424,252,40,120,9,0,4,50,368,54,2,31,1,0,1128,1,0,79,4,43,66,110
GO:0031224,intrinsic to membrane,cellular_component,70977,70841,19875,28729,189667,189184,22783,114327,113354,220596,214248,54231,55425,852,54933,24101,127060,97804,156873,29967,234706,55055,14427,56415,220112,208742,39156,121220,33406,175008,61320,33238,39644,155765,480481,33343,43262,54138,34511,136050,54775,23844,12864,27755,324847,38891,90851,57983,122472,188212,175098,8742,105800,34759,100977,141035,7161,80211,32980,21373,105190,69908,298706,119041,94976,34702,151407,26962,14931,274359,77909,69846,27790,101850,111056,27766,274048,23617,191189,75206,34859,23857,69719,58418,169033,20475,10426,9088,13761,138196,32782,4172,66782,167931,45165,279102,225436,121109,25821,148895,142899,167613,65702,140581,313269,184487,340366,21155,3215,96625,12662,69667,17639,63271,6910,10383,134071,41692,60260,82291,168177,14288,90184,23966,3070,190851,2985,16533,31858,134482,162719,200184,132855,62445,130681,51056,77902,121887,9470,38345,53469,36256,99259,2193,295554,35973,33431,94793,89805,58075,42509,181465,36532,134757,8425,217859,115480,8517,301121,179914,15385,133094,227663,48691,19563,95657,178328,29845,6774,257310,243620,11259,44118,31983,169443,53372,78412,41264,30046,9889,7787,28287,9392,7082,24318,9176,12654,12103,3842,7358,48079,12056,9911,19320,19000,23521,16751,10209,6398,31939,13564,4428,6207,16958,15013,16171,19497,7976,8082,11687,6988,6667,11255,9475,3905,20305,19503,1873,5952,9978,15272,5216,12652,17073,8373,16046,3391,7560,19395,4222,14077,14996,14195,17256,12778,8726,15476,9516,9175,23406,3274,12858,25126,14908,8616,37115,2850,8477,5632,6291,5365,14250,3736,14756,9864,12224,5562,10524,20512,3054,9404,18244,12774,1597,7979,24909,11088,8614,7886,34986,14795,5282,7726,63,43233,239,695,4709,5,5067,44205,401,2560,34,269,484,121,12638,3562,1770,24906,13684,65,35314,611,14,25649,28175,1379,331,10588,29,17934,801,1341,33328,65586,426,11298,2239,105,4019,670,1215,16813,10,263,5623,54544,677,19176,93,18110,275,4243,38051,36527,2136,92,26,39,1745,83476,47231,31,20250,93,286,21315,119,26,13984,220,3289,13170,2179
GO:0019898,extrinsic component of membrane,cellular_component,27,2,1,11,6,21,14,8,127,3,27,5,3,1,18,20,1,9,40,9,0,7,3,3,19,1,24,26,20,17,18,7,0,15,6,1,9,19,9,4,23,0,3,69,13,9,2,9,1,32,0,2,9,7,4,14,1,0,25,6,2,13,18,2,2,3,4,21,2,53,0,2,3,18,30,1,3,2,4,32,3,3,1,10,1,3,4,3,8,2,11,0,55,1,19,0,0,0,29,14,18,12,4,1,4,9,0,18,0,49,1,21,5,10,1,3,18,9,6,3,9,1,0,4,2,17,2,3,0,6,4,8,2,2,6,54,0,22,5,50,4,0,21,0,2,17,4,18,0,7,68,0,46,3,2,3,24,4,14,1,10,15,2,8,9,4,11,14,2,55,11,8,53,20,96,9,25,7,19,5,2,54,1,8,7,4,10,4,36,1,4,5,6,6,3,4,9,28,2,10,1,2,6,7,2,13,4,1,3,9,5,11,0,4,5,0,16,0,1,0,8,2,15,2,2,7,0,4,2,3,6,17,1,7,8,114,5,51,4,5,4,3,2,4,2,13,8,0,11,6,9,4,30,5,5,21,2,4,1,3,3,4,9,4,12,28,14,1,4,4,9,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0005886,plasma membrane,cellular_component,8829,7799,2517,4206,36848,24733,2949,10573,14902,26584,20215,6530,6084,115,7652,3314,15455,16035,25335,4369,20013,7662,2167,7807,40006,42363,5150,14585,4653,20211,11074,4511,6128,21685,47371,5966,7065,7862,5533,19128,6797,4110,1903,3396,31014,7272,11738,10259,11797,32500,20607,1086,10077,3512,16277,17062,941,13775,4123,2797,11472,10111,38061,23648,13296,3298,31550,4034,1517,53258,11601,9561,4810,16066,14691,2468,33755,2346,33923,8628,4393,4391,9337,6999,24307,1967,1903,1410,2475,13231,4738,607,11326,18254,7348,48392,44796,22053,3464,20337,23641,20962,7860,14631,31522,37539,38253,2581,448,11545,1795,11648,1979,6428,1178,1391,18432,4784,8917,13505,27892,1565,13799,2576,392,26751,387,2791,6057,18736,33646,24033,22482,8424,26468,7070,15558,13601,1340,4830,8234,6820,13014,342,41327,6444,5593,14438,15839,6196,6051,20888,4359,23052,1058,18713,19802,1252,54119,20130,2261,11719,51436,4497,2757,10566,27862,4526,1049,22310,35267,1562,6589,4520,27047,7036,11546,5040,3870,1442,1213,4607,1478,1090,3627,1518,2331,1891,628,1187,5813,1481,1729,3273,3169,1867,2679,1419,998,4958,2194,699,923,2562,1782,2513,3116,1298,1185,1661,950,1107,1679,1470,623,3483,2946,269,899,1640,2345,728,1930,1629,1153,1685,521,1086,3420,659,1702,2289,2097,3218,2492,1355,2131,1332,1462,3956,467,2055,3631,2412,1317,5510,490,1470,878,860,798,2116,559,2260,1672,1762,839,1184,3469,450,1447,2417,1982,254,1210,3612,1871,1326,1356,5931,2300,824,1143,22,4713,38,138,703,1,1156,8169,49,543,5,45,112,27,1978,543,326,4570,2308,4,6160,88,1,5043,5532,204,43,1085,7,3869,131,241,6229,11547,87,1837,419,17,838,119,197,2974,1,30,831,8832,159,2703,11,3331,53,695,6606,6778,338,7,4,7,334,12957,8292,4,3268,26,40,3229,17,4,2621,35,385,1254,344
